CustomerID,frequency,item_cnt,recency,monetary,user_average,unique_products,avg_revisit_days,purchase_intervals_count,min_revisit_days,max_revisit_days,stddev_revisit_days,revisit_pattern,cancel_frequency,cancel_rate,total_cancelled_quantity,total_cancelled_amount,cancel_behavior_type,R_score,F_score,M_score,RFM_code,customer_segment,product_diversity_index,avg_quantity_per_product,predicted_next_purchase_date,revisit_status,risk_level,customer_value_tier
18102,60,61724,4961,256424.5,4273.7,144,14.7,25,1,60,13.1,월간 고객,0,0,0,0,취소 없음,1,5,5,155,휴면 우수 고객,2.4,428.6,12/24/2011,재방문 지연,안전 고객,최고가치 고객
16011,16,1975,4969,3200,200,97,23.9,15,4,51,13.8,월간 고객,0,0,0,0,취소 없음,1,4,5,145,휴면 우수 고객,6.06,20.4,12/25/2011,재방문 지연,안전 고객,최고가치 고객
17690,15,1751,4991,4704.3,313.6,185,26.4,13,1,85,25.7,월간 고객,2,0.79,6,9.5,저빈도 취소,1,4,5,145,휴면 우수 고객,12.33,9.5,12/5/2011,재방문 지연,안전 고객,최고가치 고객
16839,34,8879,4969,16188.7,476.1,112,11.6,31,1,39,7.9,월간 고객,30,10.27,486,1157.37,고빈도 취소,1,5,5,155,휴면 우수 고객,3.29,79.3,12/13/2011,재방문 지연,저위험 고객,최고가치 고객
13089,97,31015,4963,58727,605.4,634,5.6,65,1,20,4.4,주간 고객,39,2.11,283,1439.95,고빈도 취소,1,5,5,155,휴면 우수 고객,6.54,48.9,12/13/2011,재방문 지연,안전 고객,최고가치 고객
13101,1,113,5195,101.2,101.2,8,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,8,14.1,,예측 불가,안전 고객,중가치 고객
17233,1,131,4996,190.9,190.9,25,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,25,5.2,,예측 불가,안전 고객,중가치 고객
13986,1,430,4978,320.5,320.5,12,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,12,35.8,,예측 불가,안전 고객,중가치 고객
14935,1,935,5258,1784.7,1784.7,10,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,4,114,고가치 휴면 고객,10,93.5,,예측 불가,안전 고객,중가치 고객
16468,1,31,5035,74.9,74.9,2,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,2,15.5,,예측 불가,안전 고객,저가치 고객
16451,1,120,5048,267,267,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,14,8.6,,예측 불가,안전 고객,중가치 고객
16315,1,75,5291,226.4,226.4,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,14,5.4,,예측 불가,안전 고객,중가치 고객
16971,1,72,4999,357.2,357.2,40,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,40,1.8,,예측 불가,안전 고객,중가치 고객
13485,1,277,5194,454.2,454.2,23,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,23,12,,예측 불가,안전 고객,중가치 고객
13833,1,117,5120,383.8,383.8,28,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,28,4.2,,예측 불가,안전 고객,중가치 고객
13878,1,463,5015,1271.6,1271.6,35,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,4,114,고가치 휴면 고객,35,13.2,,예측 불가,안전 고객,중가치 고객
15041,1,101,5131,174.8,174.8,65,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,65,1.6,,예측 불가,안전 고객,중가치 고객
15709,1,121,5244,133.3,133.3,6,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,6,20.2,,예측 불가,안전 고객,중가치 고객
13561,1,83,5176,141.9,141.9,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,14,5.9,,예측 불가,안전 고객,중가치 고객
16450,1,200,5110,311.9,311.9,11,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,11,18.2,,예측 불가,안전 고객,중가치 고객
15576,1,394,4998,921.4,921.4,43,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,3,113,일반 고객,43,9.2,,예측 불가,안전 고객,중가치 고객
12441,1,120,5327,155.6,155.6,10,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,10,12,,예측 불가,안전 고객,중가치 고객
15886,1,147,5021,181.1,181.1,12,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,12,12.3,,예측 불가,안전 고객,중가치 고객
17267,2,158,5088,317.2,158.6,37,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,18.5,4.3,,예측 불가,안전 고객,중가치 고객
12764,1,380,5277,1681.3,1681.3,44,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,4,114,고가치 휴면 고객,44,8.6,,예측 불가,안전 고객,중가치 고객
12831,1,135,5223,215,215,9,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,9,15,,예측 불가,안전 고객,중가치 고객
18222,1,335,5053,443,443,19,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,19,17.6,,예측 불가,안전 고객,중가치 고객
13581,1,30,5270,118,118,10,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,10,3,,예측 불가,안전 고객,중가치 고객
17176,1,164,5162,290.8,290.8,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,14,11.7,,예측 불가,안전 고객,중가치 고객
17942,1,38,4968,77.5,77.5,2,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,2,19,,예측 불가,안전 고객,저가치 고객
18224,1,69,5224,158.9,158.9,10,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,10,6.9,,예측 불가,안전 고객,중가치 고객
15746,1,178,5095,196.9,196.9,28,,0,,,,일회성 고객,1,3.45,48,13.92,저빈도 취소,1,1,1,111,일반 고객,28,6.4,,예측 불가,안전 고객,중가치 고객
13466,1,235,5145,246.7,246.7,13,,0,,,,일회성 고객,1,7.14,1,9.95,저빈도 취소,1,1,2,112,일반 고객,13,18.1,,예측 불가,저위험 고객,중가치 고객
16297,1,206,5229,301.9,301.9,20,,0,,,,일회성 고객,2,9.09,25,23.35,저빈도 취소,1,1,2,112,일반 고객,20,10.3,,예측 불가,저위험 고객,중가치 고객
15221,1,43,5327,403.3,403.3,5,,0,,,,일회성 고객,6,54.55,18,289.15,고빈도 취소,1,1,2,112,일반 고객,5,8.6,,예측 불가,고위험 고객,중가치 고객
12558,1,196,4968,270,270,11,,0,,,,일회성 고객,11,50,196,269.96,고빈도 취소,1,1,2,112,일반 고객,11,17.8,,예측 불가,고위험 고객,중가치 고객
16824,2,234,4976,444.1,222.1,22,149,1,149,149,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,11,10.6,4/21/2012,재방문 지연,안전 고객,중가치 고객
13799,2,402,5077,688.9,344.4,32,178,1,178,178,,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,16,12.6,2/9/2012,재방문 지연,안전 고객,중가치 고객
13023,2,280,5025,599.9,299.9,35,65,1,65,65,,계절 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,17.5,8,12/10/2011,재방문 지연,안전 고객,중가치 고객
17409,2,101,5145,752,376,12,64,1,64,64,,계절 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,6,8.4,8/11/2011,재방문 지연,안전 고객,중가치 고객
17466,2,302,4971,743.5,371.8,40,68,1,68,68,,계절 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,20,7.5,2/5/2012,재방문 지연,안전 고객,중가치 고객
17771,2,283,5017,245.3,122.7,50,267,1,267,267,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,25,5.7,7/7/2012,재방문 지연,안전 고객,중가치 고객
15512,2,68,5116,121,60.5,7,204,1,204,204,,비정기 고객,0,0,0,0,취소 없음,1,2,1,121,일반 고객,3.5,9.7,1/27/2012,재방문 지연,안전 고객,중가치 고객
16367,2,643,4998,800.7,400.4,123,325,1,325,325,,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,61.5,5.2,9/22/2012,재방문 지연,안전 고객,중가치 고객
15123,2,1147,4968,2076.9,1038.5,87,199,1,199,199,,비정기 고객,0,0,0,0,취소 없음,1,2,5,125,고가치 휴면 고객,43.5,13.2,6/18/2012,재방문 지연,안전 고객,중가치 고객
17339,2,152,5055,243.4,121.7,9,271,1,271,271,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,4.5,16.9,6/3/2012,재방문 지연,안전 고객,중가치 고객
16692,2,151,5217,1126,563,1,33,1,33,33,,계절 고객,0,0,0,0,취소 없음,1,2,4,124,고가치 휴면 고객,0.5,151,4/30/2011,재방문 지연,안전 고객,중가치 고객
17341,3,437,5117,667,222.3,145,210,1,210,210,,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,48.33,3,2/1/2012,재방문 지연,안전 고객,중가치 고객
12596,2,468,5012,450.3,225.2,24,191,1,191,191,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,12,19.5,4/27/2012,재방문 지연,안전 고객,중가치 고객
18189,2,554,5038,1075.2,537.6,64,190,1,190,190,,비정기 고객,1,1.47,2,5.9,저빈도 취소,1,2,4,124,고가치 휴면 고객,32,8.7,3/31/2012,재방문 지연,안전 고객,중가치 고객
12572,2,446,4969,912.4,456.2,52,43,1,43,43,,계절 고객,2,3.33,2,15.7,저빈도 취소,1,2,3,123,일반 고객,26,8.6,1/13/2012,재방문 지연,안전 고객,중가치 고객
13791,2,1200,5088,1516,758,7,41,1,41,41,,계절 고객,6,35.29,372,468.32,고빈도 취소,1,2,4,124,고가치 휴면 고객,3.5,171.4,9/14/2011,재방문 지연,고위험 고객,중가치 고객
17420,3,265,5011,598.8,199.6,28,161.5,2,121,202,57.3,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,9.33,9.5,3/29/2012,재방문 지연,안전 고객,중가치 고객
15111,3,704,4990,1552.2,517.4,69,171.5,2,37,306,190.2,비정기 고객,0,0,0,0,취소 없음,1,2,4,124,고가치 휴면 고객,23,10.2,4/29/2012,재방문 지연,안전 고객,중가치 고객
13077,4,862,4962,728,182,99,182.5,2,76,289,150.6,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,24.75,8.7,6/7/2012,재방문 지연,안전 고객,중가치 고객
17827,5,1240,4966,1987.3,397.5,190,179.5,2,122,237,81.3,비정기 고객,0,0,0,0,취소 없음,1,3,4,134,일반 고객,38,6.5,5/31/2012,재방문 지연,안전 고객,고가치 고객
14514,3,559,5022,948.9,316.3,63,135,2,130,140,7.1,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,21,8.9,2/21/2012,재방문 지연,안전 고객,중가치 고객
16866,3,60,5101,207.7,69.2,10,10.5,2,9,12,2.1,월간 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,3.33,6,8/1/2011,재방문 지연,안전 고객,중가치 고객
14618,3,262,4970,523.4,174.5,9,164,2,1,327,230.5,비정기 고객,1,6.67,3,14.85,저빈도 취소,1,2,3,123,일반 고객,3,29.1,5/12/2012,재방문 지연,저위험 고객,중가치 고객
14176,4,209,5258,576.9,144.2,28,35,2,29,41,8.5,계절 고객,1,3.13,2,2.9,저빈도 취소,1,2,3,123,일반 고객,7,7.5,3/22/2011,재방문 지연,안전 고객,중가치 고객
16038,3,244,4968,471.8,157.3,24,97,2,24,170,103.2,비정기 고객,2,7.14,3,17.45,저빈도 취소,1,2,2,122,일반 고객,8,10.2,3/8/2012,재방문 지연,저위험 고객,중가치 고객
16768,3,196,5008,478.1,159.4,47,112,2,56,168,79.2,비정기 고객,4,6.9,5,20.05,중빈도 취소,1,2,2,122,일반 고객,15.67,4.2,2/12/2012,재방문 지연,저위험 고객,중가치 고객
16303,3,2659,4986,5360.6,1786.9,119,154,2,90,218,90.5,비정기 고객,5,2.99,38,54.8,중빈도 취소,1,2,5,125,고가치 휴면 고객,39.67,22.3,4/16/2012,재방문 지연,안전 고객,중가치 고객
14216,4,593,4964,1824.3,456.1,46,11.3,3,5,21,8.5,월간 고객,0,0,0,0,취소 없음,1,2,4,124,고가치 휴면 고객,11.5,12.9,12/17/2011,재방문 지연,안전 고객,중가치 고객
16806,4,343,5064,705.6,176.4,65,45.3,3,19,66,24,계절 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,16.25,5.3,10/12/2011,재방문 지연,안전 고객,중가치 고객
14692,4,265,5098,591.6,147.9,53,61.7,3,23,98,37.6,계절 고객,1,1.45,10,9.5,저빈도 취소,1,2,3,123,일반 고객,13.25,5,9/25/2011,재방문 지연,안전 고객,중가치 고객
16271,4,1023,4976,1389.6,347.4,88,114.3,3,16,216,100,비정기 고객,1,0.77,1,5.95,저빈도 취소,1,2,4,124,고가치 휴면 고객,22,11.6,3/17/2012,재방문 지연,안전 고객,중가치 고객
13313,5,791,4983,1402.3,280.5,45,79.3,4,13,124,48.8,계절 고객,0,0,0,0,취소 없음,1,3,4,134,일반 고객,9,17.6,2/4/2012,재방문 지연,안전 고객,고가치 고객
18135,5,349,4990,681.9,136.4,11,40.3,4,2,110,49.8,계절 고객,0,0,0,0,취소 없음,1,3,3,133,일반 고객,2.2,31.7,12/20/2011,재방문 지연,안전 고객,중가치 고객
16440,5,2018,4968,3640.7,728.1,186,51.8,4,15,148,64.3,계절 고객,0,0,0,0,취소 없음,1,3,5,135,일반 고객,37.2,10.8,1/23/2012,재방문 지연,안전 고객,고가치 고객
17469,5,787,4977,1871,374.2,61,47,4,36,56,8.3,계절 고객,2,2.22,9,27.91,저빈도 취소,1,3,4,134,일반 고객,12.2,12.9,1/9/2012,재방문 지연,안전 고객,고가치 고객
14064,5,1772,4990,1334.3,266.9,59,61.3,4,21,98,35.9,계절 고객,2,2.53,438,165.42,저빈도 취소,1,3,4,134,일반 고객,11.8,30,1/10/2012,재방문 지연,안전 고객,고가치 고객
13728,6,458,4997,1016.1,169.3,38,54.8,5,27,71,16.8,계절 고객,0,0,0,0,취소 없음,1,3,4,134,일반 고객,6.33,12.1,12/28/2011,재방문 지연,안전 고객,고가치 고객
14766,6,1349,4969,2473.4,412.2,111,71.6,5,43,110,28.6,계절 고객,2,1.46,26,50.3,저빈도 취소,1,3,5,135,일반 고객,18.5,12.2,2/11/2012,재방문 지연,안전 고객,고가치 고객
17412,7,738,4963,1258.1,179.7,48,61.7,6,14,137,49.7,계절 고객,0,0,0,0,취소 없음,1,3,4,134,일반 고객,6.86,15.4,2/7/2012,재방문 지연,안전 고객,고가치 고객
17365,8,4723,4973,4726.6,590.8,275,53.3,6,30,82,22.5,계절 고객,0,0,0,0,취소 없음,1,3,5,135,일반 고객,34.38,17.2,1/19/2012,재방문 지연,안전 고객,고가치 고객
14221,9,2191,5003,3432.8,381.4,123,49.5,6,16,133,41.8,계절 고객,1,0.52,1,4.95,저빈도 취소,1,3,5,135,일반 고객,13.67,17.8,12/16/2011,재방문 지연,안전 고객,고가치 고객
12757,9,2384,4976,4169.1,463.2,234,28,7,3,78,25.6,월간 고객,1,0.28,12,15,저빈도 취소,1,3,5,135,일반 고객,26,10.2,12/22/2011,재방문 지연,안전 고객,고가치 고객
13552,12,1417,5027,3740.1,311.7,82,35.6,7,3,59,20.4,계절 고객,12,9.92,31,200.54,고빈도 취소,1,4,5,145,휴면 우수 고객,6.83,17.3,11/9/2011,재방문 지연,저위험 고객,최고가치 고객
15482,11,5003,4976,10839.8,985.4,45,49,7,1,119,52.5,계절 고객,29,23.2,2022,4486.24,고빈도 취소,1,4,5,145,휴면 우수 고객,4.09,111.2,1/12/2012,재방문 지연,중위험 고객,최고가치 고객
14878,9,799,4973,1476.1,164,62,43.3,8,7,91,27.3,계절 고객,0,0,0,0,취소 없음,1,3,4,134,일반 고객,6.89,12.9,1/9/2012,재방문 지연,안전 고객,고가치 고객
17848,9,398,5042,901.2,100.1,41,34.6,8,7,80,25.6,계절 고객,0,0,0,0,취소 없음,1,3,3,133,일반 고객,4.56,9.7,10/24/2011,재방문 지연,안전 고객,중가치 고객
17870,12,1351,4963,1865.9,155.5,214,45.5,8,12,231,75.3,계절 고객,1,0.37,1,4.95,저빈도 취소,1,4,4,144,휴면 우수 고객,17.83,6.3,1/21/2012,재방문 지연,안전 고객,고가치 고객
15356,10,1637,4992,2715.7,271.6,214,37.4,9,8,64,16.3,계절 고객,0,0,0,0,취소 없음,1,4,5,145,휴면 우수 고객,21.4,7.6,12/15/2011,재방문 지연,안전 고객,최고가치 고객
14032,11,1966,4963,2807.3,255.2,51,36.4,10,6,81,27.1,계절 고객,9,6.34,24,45.75,고빈도 취소,1,4,5,145,휴면 우수 고객,4.64,38.5,1/12/2012,재방문 지연,저위험 고객,최고가치 고객
17954,12,2221,4966,2314.1,192.8,326,33.3,11,4,63,18.3,계절 고객,4,0.83,5,37.35,중빈도 취소,1,4,5,145,휴면 우수 고객,27.17,6.8,1/6/2012,재방문 지연,안전 고객,최고가치 고객
13694,50,62928,4964,64791,1295.8,363,10.9,34,1,26,6.9,월간 고객,13,2.26,1408,2078.08,고빈도 취소,1,5,5,155,휴면 우수 고객,7.26,173.4,12/17/2011,재방문 지연,안전 고객,최고가치 고객
13603,1,164,4987,164.3,164.3,27,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,27,6.1,,예측 불가,안전 고객,중가치 고객
16123,1,170,5012,307.8,307.8,16,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,16,10.6,,예측 불가,안전 고객,중가치 고객
16429,1,9,5067,284.6,284.6,2,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,2,4.5,,예측 불가,안전 고객,저가치 고객
16343,2,157,4977,282.7,141.3,27,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,13.5,5.8,,예측 불가,안전 고객,중가치 고객
12512,2,96,5027,132.2,66.1,31,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,2,1,121,일반 고객,15.5,3.1,,예측 불가,안전 고객,중가치 고객
13403,1,44,4978,75,75,3,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,3,14.7,,예측 불가,안전 고객,저가치 고객
17534,1,103,5014,223.4,223.4,9,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,9,11.4,,예측 불가,안전 고객,중가치 고객
16881,1,600,5027,432,432,1,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,1,600,,예측 불가,안전 고객,저가치 고객
12353,1,20,5165,89,89,4,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,4,5,,예측 불가,안전 고객,저가치 고객
17431,1,286,5274,388,388,40,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,40,7.2,,예측 불가,안전 고객,중가치 고객
13436,1,76,4962,196.9,196.9,12,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,12,6.3,,예측 불가,안전 고객,중가치 고객
16425,1,199,5263,302.7,302.7,21,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,21,9.5,,예측 불가,안전 고객,중가치 고객
16483,1,44,5153,139.3,139.3,19,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,19,2.3,,예측 불가,안전 고객,중가치 고객
15445,1,58,5225,113.5,113.5,5,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,5,11.6,,예측 불가,안전 고객,중가치 고객
14675,1,336,4977,596.4,596.4,93,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,3,113,일반 고객,93,3.6,,예측 불가,안전 고객,중가치 고객
16222,1,325,5279,773.5,773.5,120,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,3,113,일반 고객,120,2.7,,예측 불가,안전 고객,중가치 고객
13712,1,346,5207,213.5,213.5,9,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,9,38.4,,예측 불가,안전 고객,중가치 고객
13583,1,687,5116,737.4,737.4,50,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,3,113,일반 고객,50,13.7,,예측 불가,안전 고객,중가치 고객
16776,1,254,5021,371.5,371.5,61,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,61,4.2,,예측 불가,안전 고객,중가치 고객
15025,1,178,4994,346.7,346.7,64,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,64,2.8,,예측 불가,안전 고객,중가치 고객
16400,1,172,5055,303.9,303.9,28,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,28,6.1,,예측 불가,안전 고객,중가치 고객
14782,1,114,5280,200.1,200.1,6,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,6,19,,예측 불가,안전 고객,중가치 고객
14598,1,181,5005,201.6,201.6,46,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,46,3.9,,예측 불가,안전 고객,중가치 고객
17574,1,77,5203,185.6,185.6,8,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,8,9.6,,예측 불가,안전 고객,중가치 고객
17154,1,490,5036,329.3,329.3,23,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,23,21.3,,예측 불가,안전 고객,중가치 고객
16211,1,146,5049,507.4,507.4,22,,0,,,,일회성 고객,1,4.35,1,4.25,저빈도 취소,1,1,3,113,일반 고객,22,6.6,,예측 불가,안전 고객,중가치 고객
15171,1,290,5292,1289.5,1289.5,5,,0,,,,일회성 고객,2,28.57,100,255,고빈도 취소,1,1,4,114,고가치 휴면 고객,5,58,,예측 불가,중위험 고객,중가치 고객
13091,1,466,4989,345.8,345.8,21,,0,,,,일회성 고객,3,12.5,16,26,중빈도 취소,1,1,2,112,일반 고객,21,22.2,,예측 불가,저위험 고객,중가치 고객
13587,1,180,5024,712.4,712.4,8,,0,,,,일회성 고객,3,27.27,20,365.4,고빈도 취소,1,1,3,113,일반 고객,8,22.5,,예측 불가,중위험 고객,중가치 고객
15807,3,430,5011,903.9,301.3,48,27,1,27,27,,월간 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,16,9,11/16/2011,재방문 지연,안전 고객,중가치 고객
16109,2,600,5179,601.9,300.9,17,90,1,90,90,,계절 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,8.5,35.3,8/3/2011,재방문 지연,안전 고객,중가치 고객
15690,2,408,4965,239.8,119.9,19,96,1,96,96,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,9.5,21.5,3/10/2012,재방문 지연,안전 고객,중가치 고객
12592,2,288,5053,401.6,200.8,10,121,1,121,121,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,5,28.8,1/7/2012,재방문 지연,안전 고객,중가치 고객
17311,2,1005,5039,1384.9,692.5,55,238,1,238,238,,비정기 고객,0,0,0,0,취소 없음,1,2,4,124,고가치 휴면 고객,27.5,18.3,5/17/2012,재방문 지연,안전 고객,중가치 고객
17604,2,157,5178,278.8,139.4,55,95,1,95,95,,비정기 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,27.5,2.9,8/9/2011,재방문 지연,안전 고객,중가치 고객
17018,2,176,5001,920.1,460.1,15,285,1,285,285,,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,7.5,11.7,8/10/2012,재방문 지연,안전 고객,중가치 고객
12547,2,132,5158,151.8,75.9,6,83,1,83,83,,계절 고객,0,0,0,0,취소 없음,1,2,1,121,일반 고객,3,22,8/17/2011,재방문 지연,안전 고객,중가치 고객
15182,2,253,5115,622.9,311.4,24,114,1,114,114,,비정기 고객,0,0,0,0,취소 없음,1,2,3,123,일반 고객,12,10.5,10/30/2011,재방문 지연,안전 고객,중가치 고객
